takeoffdate	landingdate	airlineMarketing	airlineOperator	airlineOwner	airportOrg	orgLAT	orgLON	airportDst	desLAT	desLON	ACtype	takeOffTime	landingTime	durationH	takeOffMinute	landingMinute		
01/01/2016 06:15	01/01/2016 22:05	Qantas	Qantas	Qantas	Los Angeles International Airport	33.941	-118.409	 Melbourne Airport	-37.665	144.84	388	6:15:00	22:05:00	15:50:00	375	1325		
01/01/2016 06:25	01/01/2016 20:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	 Brisbane Airport	-27.391	153.123	388	6:25:00	20:40:00	14:15:00	385	1240		
01/01/2016 06:30	01/01/2016 21:40	China Southern Airlines	China Southern Airlines	China Southern Airlines	Los Angeles International Airport	33.941	-118.409	Guangzhou Baiyun International Airport	23.402	113.309	380	6:30:00	21:40:00	15:10:00	390	1300		
01/01/2016 06:30	01/01/2016 21:30	Qantas	Qantas	Qantas	Los Angeles International Airport	33.941	-118.409	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	388	6:30:00	21:30:00	15:00:00	390	1290		
01/01/2016 06:45	01/01/2016 09:30	Emirates Airline	Emirates Airline	Emirates Airline	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	HONG KONG INTERNATIONAL APT	22.296	113.897	388	6:45:00	9:30:00	2:45:00	405	570		
01/01/2016 07:30	01/01/2016 10:50	China Southern Airlines	China Southern Airlines	China Southern Airlines	 Beijing Capital International Airport	40.066	116.609	Guangzhou Baiyun International Airport	23.402	113.309	380	7:30:00	10:50:00	3:20:00	450	650		
01/01/2016 07:30	01/01/2016 21:00	Korean Air	Korean Air	Korean Air	Los Angeles International Airport	33.941	-118.409	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	388	7:30:00	21:00:00	13:30:00	450	1260		
01/01/2016 08:05	01/01/2016 10:45	Emirates Airline	Emirates Airline	Emirates Airline	JEDDAH	21.667	39.15	DUBAI INTERNATIONAL	25.253	55.364	388	8:05:00	10:45:00	2:40:00	485	645		
01/01/2016 08:25	01/01/2016 14:15	Singapore Airlines	Singapore Airlines	Singapore Airlines	Shanghai Pudong International Airport	31.133	121.8	SINGAPORE CHANGI APT	1.363	103.992	388	8:25:00	14:15:00	5:50:00	505	855		
01/01/2016 08:25	01/01/2016 14:05	Singapore Airlines	Singapore Airlines	Singapore Airlines	SINGAPORE CHANGI APT	1.363	103.992	DELHI	28.55	77.1	388	8:25:00	14:05:00	5:40:00	505	845		
01/01/2016 08:30	01/01/2016 11:10	China Southern Airlines	China Southern Airlines	China Southern Airlines	Chengdu Shuangliu International Airport	30.575	103.951	 Beijing Capital International Airport	40.066	116.609	380	8:30:00	11:10:00	2:40:00	510	670		
01/01/2016 08:30	01/01/2016 15:30	Thai Airways International	Thai Airways International	Thai Airways International	TOKYO NARITA APT	35.769	140.393	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	380	8:30:00	15:30:00	7:00:00	510	930		
01/01/2016 08:40	01/01/2016 15:20	Singapore Airlines	Singapore Airlines	Singapore Airlines	 Beijing Capital International Airport	40.066	116.609	SINGAPORE CHANGI APT	1.363	103.992	388	8:40:00	15:20:00	6:40:00	520	920		
01/01/2016 08:50	01/01/2016 20:05	Lufthansa	Lufthansa	Lufthansa	FRANKFURT INTERNATIONAL Airport	50.036	8.57	Houston - George Bush Intercontinental Airport	29.99	-95.337	388	8:50:00	20:05:00	11:15:00	530	1205		
01/01/2016 08:50	01/01/2016 15:35	Qatar Airways	Qatar Airways	Qatar Airways	LONDON HEATHROW Airport	51.467	-0.45	DOHA	25.269	51.613	388	8:50:00	15:35:00	6:45:00	530	935		
01/01/2016 08:55	01/01/2016 15:35	Emirates Airline	Emirates Airline	Emirates Airline	PARIS CHARLES DE GAULLE APT	49.005	2.555	DUBAI INTERNATIONAL	25.253	55.364	388	8:55:00	15:35:00	6:40:00	535	935		
01/01/2016 09:00	01/01/2016 15:55	Emirates Airline	Emirates Airline	Emirates Airline	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	DUBAI INTERNATIONAL	25.253	55.364	388	9:00:00	15:55:00	6:55:00	540	955		
01/01/2016 09:00	01/01/2016 19:30	Lufthansa	Lufthansa	Lufthansa	FRANKFURT INTERNATIONAL Airport	50.036	8.57	MIAMI INTERNATIONAL APT	25.796	-80.287	388	9:00:00	19:30:00	10:30:00	540	1170		
01/01/2016 09:10	01/01/2016 16:00	Emirates Airline	Emirates Airline	Emirates Airline	LONDON HEATHROW Airport	51.467	-0.45	DUBAI INTERNATIONAL	25.253	55.364	388	9:10:00	16:00:00	6:50:00	550	960		
01/01/2016 09:10	01/01/2016 20:50	Lufthansa	Lufthansa	Lufthansa	FRANKFURT INTERNATIONAL Airport	50.036	8.57	Los Angeles International Airport	33.941	-118.409	388	9:10:00	20:50:00	11:40:00	550	1250		
01/01/2016 09:15	01/01/2016 16:30	Etihad Airways	Etihad Airways	Etihad Airways	LONDON HEATHROW Airport	51.467	-0.45	 Abu Dhabi International Airport	24.446	54.646	388	9:15:00	16:30:00	7:15:00	555	990		
01/01/2016 09:20	01/01/2016 21:00	Lufthansa	Lufthansa	Lufthansa	FRANKFURT INTERNATIONAL Airport	50.036	8.57	SAN FRANCISCO INTERNATIONAL APT	37.62137391	-122.379	388	9:20:00	21:00:00	11:40:00	560	1260		
01/01/2016 09:35	01/01/2016 22:00	Singapore Airlines	Singapore Airlines	Singapore Airlines	ZURICH AIRPORT	47.461	8.55	SINGAPORE CHANGI APT	1.363	103.992	388	9:35:00	22:00:00	12:25:00	575	1320		
01/01/2016 09:40	01/01/2016 16:35	Emirates Airline	Emirates Airline	Emirates Airline	LONDON  Gatwick Airport	51.15	-0.176	DUBAI INTERNATIONAL	25.253	55.364	388	9:40:00	16:35:00	6:55:00	580	995		
01/01/2016 09:45	01/01/2016 19:55	Korean Air	Korean Air	Korean Air	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	SYDNEY - KINGSFORD SMITH Airport	-33.94	151.179	388	9:45:00	19:55:00	10:10:00	585	1195		
01/01/2016 09:50	01/01/2016 21:25	Air France	Air France	Air France	PARIS CHARLES DE GAULLE APT	49.005	2.555	Los Angeles International Airport	33.941	-118.409	388	9:50:00	21:25:00	11:35:00	590	1285		
01/01/2016 09:50	01/01/2016 15:55	Korean Air	Korean Air	Korean Air	SEOUL INCHEON INTERNATIONAL AIRPORT	37.467	126.45	BANGKOK SUVARNABHUMI INTERNATIONAL APT	13.692	100.75	388	9:50:00	15:55:00	6:05:00	590	955		
01/01/2016 09:50	01/01/2016 19:50	Singapore Airlines	Singapore Airlines	Singapore Airlines	TOKYO NARITA APT	35.769	140.393	Los Angeles International Airport	33.941	-118.409	388	9:50:00	19:50:00	10:00:00	590	1190		
01/01/2016 09:55	01/01/2016 19:05	Emirates Airline	Emirates Airline	Emirates Airline	HONG KONG INTERNATIONAL APT	22.296	113.897	DUBAI INTERNATIONAL	25.253	55.364	388	9:55:00	19:05:00	9:10:00	595	1145		
01/01/2016 10:00	01/01/2016 22:40	Singapore Airlines	Singapore Airlines	Singapore Airlines	PARIS CHARLES DE GAULLE APT	49.005	2.555	SINGAPORE CHANGI APT	1.363	103.992	388	10:00:00	22:40:00	12:40:00	600	1360		
01/01/2016 10:30	01/01/2016 18:15	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	LONDON HEATHROW Airport	51.467	-0.45	388	10:30:00	18:15:00	7:45:00	630	1095		
01/01/2016 10:35	01/01/2016 17:40	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	FRANKFURT INTERNATIONAL Airport	50.036	8.57	388	10:35:00	17:40:00	7:05:00	635	1060		
01/01/2016 10:40	01/01/2016 18:35	Emirates Airline	Emirates Airline	Emirates Airline	DUBAI INTERNATIONAL	25.253	55.364	 Manchester Airport	53.34	-2.295	388	10:40:00	18:35:00	7:55:00	640	1115		
